tissue,subTissues
481,Heart,Heart_fibroblast
482,Heart,Heart_fibroblast
483,Heart,Heart_fibroblast
484,Heart,Heart_fibroblast
485,Heart,Heart_fibroblast
486,Heart,Heart_fibroblast
487,Heart,Heart_fibroblast
488,Heart,Heart_fibroblast
489,Heart,Heart_fibroblast
490,Heart,Heart_fibroblast
491,Heart,Heart_fibroblast
492,Heart,Heart_fibroblast
493,Heart,Heart_fibroblast
494,Heart,Heart_fibroblast
495,Heart,Heart_fibroblast
496,Heart,Heart_fibroblast
497,Heart,Heart_fibroblast
498,Heart,Heart_fibroblast
499,Heart,Heart_fibroblast
500,Heart,Heart_fibroblast
501,Heart,Heart_fibroblast
502,Heart,Heart_fibroblast
503,Heart,Heart_fibroblast
504,Heart,Heart_fibroblast
505,Heart,Heart_fibroblast
506,Heart,Heart_fibroblast
507,Heart,Heart_fibroblast
508,Heart,Heart_fibroblast
509,Heart,Heart_fibroblast
510,Heart,Heart_fibroblast
511,Heart,Heart_fibroblast
512,Heart,Heart_fibroblast
513,Heart,Heart_fibroblast
514,Heart,Heart_fibroblast
515,Heart,Heart_fibroblast
516,Heart,Heart_fibroblast
517,Heart,Heart_fibroblast
518,Heart,Heart_fibroblast
519,Heart,Heart_fibroblast
520,Heart,Heart_fibroblast
521,Heart,Heart_fibroblast
522,Heart,Heart_fibroblast
523,Heart,Heart_fibroblast
524,Heart,Heart_fibroblast
525,Heart,Heart_fibroblast
526,Heart,Heart_fibroblast
527,Heart,Heart_fibroblast
528,Heart,Heart_fibroblast
529,Heart,Heart_fibroblast
530,Heart,Heart_fibroblast
531,Heart,Heart_fibroblast
532,Heart,Heart_fibroblast
533,Heart,Heart_fibroblast
534,Heart,Heart_fibroblast
535,Heart,Heart_fibroblast
536,Heart,Heart_fibroblast
537,Heart,Heart_fibroblast
538,Heart,Heart_fibroblast
539,Heart,Heart_fibroblast
540,Heart,Heart_fibroblast
541,Heart,Heart_fibroblast
542,Heart,Heart_fibroblast
543,Heart,Heart_fibroblast
544,Heart,Heart_fibroblast
545,Heart,Heart_fibroblast
546,Heart,Heart_fibroblast
547,Heart,Heart_fibroblast
548,Heart,Heart_fibroblast
549,Heart,Heart_fibroblast
550,Heart,Heart_fibroblast
551,Heart,Heart_fibroblast
552,Heart,Heart_fibroblast
553,Heart,Heart_fibroblast
554,Heart,Heart_fibroblast
555,Heart,Heart_fibroblast
556,Heart,Heart_fibroblast
